text,transcription
Кіт спить на вікні.,[kʲiʦspɪtʲnɑvʲiˈknʲi]
Сонце світить яскраво.,/со́нце світи́т' йаскра́во/
Я питиму каву.,[j·апи́ти̃ᵉм°ỹ ка́в°у]
Море сьогодні тепле.,[ˈmorɛ sʲoˈɦodʲnʲi tɛpɫɛ]
Птахи летять високо.,[ptɑˈxɪ ɫɛˈtʲɑtʲ vɪsoko]
Книга лежить там.,/кни́га леᴻжи́т' та́м/
Машина швидко їде.,[мãши̃́нã шви́дк°о jíде]
Мама варить борщ.,[мã́мã ва́риᵉт' б°о́ршч]
Трава дуже зелена.,/трава́ ду́же зеᴻле́на/
Вітер дує сильно.,[ˈvʲiˈtɛr duˈjɛ sɪlʲno]
Дощ іде надворі.,[doʃʧʲiˈdɛ nɑˈdvorʲi]
Собака голосно гавкає.,/соба́ка го́лосно га́вкайе/
Весна скоро прийде.,[vɛˈsnɑ skoˈro prɪjdɛ]
Літо буде спекотним.,/л'íто бу́де спеᴻко́тниᵉм/
Ми йдемо гуляти.,/миᵉйдеᴻмо́ гул'а́ти/
Квіти гарно пахнуть.,/квíти га́рно па́хнут'/
Двері відчинені зараз.,[ˈdvɛrʲi vʲid͡ʒˈʧɪnɛˈnʲi zɑrɑz]
Вогонь палає жарко.,[в°ог°ṍ·н' пала́·j·е жа́рк°о]
Ніч була темна.,/н'ід͡жбу́ла те́мна/
Ранок зустрів прохолодою.,/ра́нок зустр'íв прохоло́дойу/
Телефон дзвонить знову.,[теᴻлеᴻф°ṍн д͡зв°ṍни̃ᵉт' зн°ṍв°у]
Комп'ютер працює тихо.,/коʸмпйу́теᴻр прац'у́йе ти́хо/
Тато читає газету.,/та́то чиᵉта́йе газе́ту/
Дитина весело сміється.,[dɪˈtɪnɑ ˈvɛsɛɫo smʲiˈjɛʦʲːɑ]
Хліб свіжий сьогодні.,[xlʲibˈsvʲiʒɪj sʲoˈɦodʲnʲi]
Чай гарячий дуже.,[чаĭга·р'·а́чиᵉĭ д°у́же]
Зорі світять вночі.,[ˈzorʲi svʲiˈtʲɑtʲ vnoˈʧʲi]
Ліс шумить навколо.,[л'іш°:ỹми̃́т' нãўк°о́л°о]
Я люблю музику.,[jɑlʲuˈblʲu muzɪku]
Ми п'ємо сік.,[ми̃ᵉпj·ẽᴻм°ṍ с'íк]
Дорога веде вгору.,[doˈroɦɑ vɛˈdɛ vˈɦoru]
Небо стало синім.,[нẽ́б°о ста́л°о си̃́н'ĩм]
Риба пливе глибоко.,/ри́ба плиᵉве́ гли́боко/
Зима принесла сніг.,[зи̃ᵉмã́ при̃ᵉнẽᴻсла́ с'н'ĩ́г]
Годинник іде точно.,/годи́н:иᵉк іде́ то́чно/
Стіл стоїть тут.,[с'т'ілст°оʸjíт' т°у́т]
Вікно було брудним.,[vʲiˈkno buˈɫo bruˈdnɪm]
Він купив яблука.,[vʲinkuˈpɪv jɑbɫukɑ]
Вона гарно співає.,[voˈnɑ ɦɑrno spʲiˈvɑjɛ]
Ми бачимо гори.,/миᵉба́чиᵉмо го́ри/
Листя падає повільно.,/ли́с'т'а па́дайе поʸвíл'но/
Папір білий зовсім.,[папߴíр бߴíлиᵉĭ з°о́ўс'ĩм]
Ручка пише добре.,[ˈruˈʧkɑ pɪˈʃɛ dobrɛ]
Звук був гучним.,[zvugbuvɦuˈʧnɪm]
Час біжить швидко.,[ʧɑzbʲiˈʒɪtʲ ˈʃvɪdko]
Ми шукаємо ключ.,/миᵉшука́йеᴻмо кл'у́ч/
Світ навколо великий.,[свߴітнãўк°о́л°о веᴻли́киᵉĭ]
Друзі прийшли в гості.,[ˈdruzʲi prɪjˈʃɫɪ vˈɦosʲtʲi]
Місто спить ввечері.,[ˈmʲisto spɪˈtʲvːɛʧɛrʲi]
Фінал настав несподівано.,[фߴĩнã́л нãста́ў нẽᴻсп°оʸд'íвãн°õ]
